nome_organizacao,descricao_organizacao,categoria_organizacao,segmento_atuacao,tecnologias_disruptivas,fase_negocio,papel_no_ecossistema,M1_Agro,M2_Saude,M3_Infra_Mobilidade,M4_Transformacao_Digital,M5_Bioeconomia_Energia,M6_Defesa_Soberania
2Rhino,Soluções tecnológicas e automação,Startup,Automóveis,,,Executores Diretos das Missões,,,,,,
AUTHOSP,"A AutHOSP Soluções Tecnológicas Ltda. surgiu em 2008 com o objetivo de criar produtos inovadores para a área da saúde, aliando a tecnologia inovação com a demanda do mercado",Empresa de Base Tecnológica (EBT),Ciências biológicas,Nenhuma,"Escala (Nesta fase a EBT possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,,,,,,
Fluxo,"A Fluxo é uma plataforma que ajuda gestores tomarem decisões centradas na opinião de quem realmente importa (colaboradores e clientes), através de pesquisas e métricas que dão voz ao seu consumidor.",Startup,Recursos Humanos,"Big Data, Machine Learning","Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,,,,,,
M 3 Lending Assessoria empresarial LTDA,"Peer-to-peer que conecta empresas que necessitam de crédito, a pessoas físicas dispostas a investir nessas empresas. A empresa foi fundada em 2020, ja forneceu mais de um milhão de reais e hoje possui aproximadamente 300 investidores na base de dados.",Startup,Finanças,Nenhuma,"Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,,,,,,
Cedro Technologies,"Somos uma empresa que baseia seu crescimento na vontade de sempre criar e inovar. Desde a fundação, em 2005, temos como objetivo transformar o mundo através de pessoas e tecnologias, com atuação global e sustentável. Com sede no Brasil, atendemos usuários nacionais e internacionais.
 
 Soluções Cedro: 
 
 IT Services | Mobile Services | Cognitive Services | Financial Solutions | Consultoria
 
 IT Services:
 Fábrica de Software
 Alocação de Consultores
 Sustentação e Suporte de Aplicações e Sistemas
 Consultoria e Administração de Banco de Dados
 Suporte Usuários Finais
 TI para Mercado Financeiro
 
 Mobile Services:
 Desenvolvimento
 MyPush
 MyPush Anywhere OEM
 
 Cognitive Services:
 People
 
 Financial Solutions:
 Plataformas
 Fast Trade
 Web Trade
 Abertura de Contas Digitais
 Data Engine
 Market Data
 Crystal Data Feed
 Web Feeder
 Historical Data
 Negociação Eletrônica
 Crystal Broker
 Risk Broker
 
 Consultoria:
 Arquitetura de Software
 Consultoria em FIX
 Processos de Negócios",Empresa de Base Tecnológica (EBT),"Gestão de negócios, Tecnologia da informação",,,Executores Diretos das Missões,,,,,,
NGC BRASIL LTDA - COMTAC,"A NGC BRASIL foi criada em 1998 na cidade de Timbó - Santa Catarina, iniciando suas atividades no seguimento de Automação Comercial, e com a necessidade e expansão do mercado ingressou no mercado de produtos eletrônicos e equipamentos de telecomunicações. Seguindo a mesma política comercial, fornecendo sempre produtos de alta tecnologia com as principais virtudes: Inovação, Qualidade e Serviço. O objetivo é a fabricação e comercialização de produtos eletrônicos e equipamentos de telecomunicações com tecnologia e inovação.
Política de Qualidade
Buscamos a perfeição e a qualidade em nossos produtos e serviços, através da qualificação profissional de nossos colaboradores e acompanhando os avanços tecnológicos do mercado.",Média e Grande Empresa,Eletroeletrônica,,,Executores Diretos das Missões,,,,,,
Tangram Educação,"A tangram é a parceira das escolas na inovação do ensino. Nossa missão é transformar uma experiência divertida em aprendizado. 90% dos estudantes estão insatisfeitos com as aulas expositivas (Portal Educacional Porvir). Acreditamos que é preciso engajar para educar! Os estudantes aprendem matemática, educação financeira e empreendedorismo por meio de um game online dentro da escola. A tecnologia facilita a vida do professor e o aluno aprende com tecnologia. Temos parceria com 6 escolas (públicas e privadas) que utilizam o jogo. Os alunos passaram a faltar menos nas aulas e, como consequência, aprendem mais.",Startup,Educação,IOT (Internet das Coisas),"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,,,,,,
Big Card,Uma empresa mineira de Administração de Cartões Convênio e Benefício,Startup,Finanças,,,Executores Diretos das Missões,,,,,,
Doutorapp,"Telemedicina: Atenda seus pacientes sem sair de casa
Através de um link você e seu paciente se conectam em uma sala virtual sigilosa e segura, com total privacidade onde você poderá orientar seus pacientes remotamente.
Gratuito durante o período de combate a COVID-19",Startup,Saúde,,,Executores Diretos das Missões,,,,,,
Aqua Tecnologia SA,"Aqua é uma startup de design e tecnologia touchscreen, especializada em experiência do usuário. Oferecemos soluções completas, com equipamentos interativos e aplicações. Ajudamos empresas que querem atender melhor e vender mais.",Startup,"Publicidade, Construção, Moda, Imóveis, Regulamentação e compliance, Varejo, Turismo",Nenhuma,"Escala (Nesta fase a startup possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,,,,,,
FAMA Indústria Eletrônica LTDA,"A Fama Medical é uma empresa na área de biomédica que oferece aos seus clientes produtos e serviços de alta qualidade.Fundada em 2013, a empresa possui sede em Santa Rita do Sapucaí também conhecida como ""Vale da Eletrônica"", em Minas Gerais, a Fama Medical está sempre na frente nos quesitos inovação e mobilidade, criando os melhores produtos e oferecendo os melhores serviços aos seus clientes.",Startup,"Saúde, Tecnologia da informação","Big Data, IOT (Internet das Coisas)",Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico),Executores Diretos das Missões,,,,,,
Cfaz.net,"Fornecer soluções online para gestão de clínicas e laboratórios, realização, armazenamento e distribuição de exames de radiologia. Atualmente, atendemos cerca de 270 clínicas em 20 dos 26 estados do Brasil + DF.",Startup,Saúde,Machine Learning,"Escala (Nesta fase a startup possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,,,,,,
E-auditoria,"Soluções de auditoria eletrônica: auditoria fiscal, auditoria digital, cruzamento de dados, armazenamento de NF-e, auditoria contábil, SPED, EFD Contribuições, EFD ICMSIPI, ECF, EFD, contabilidade, contábil, fisco, receita, fiscalizacao, eSocial, ICMS, PIS/COFINS, ECD, DIFAL, MVA Ajustada, XML e notas fiscais",Startup,Direito,,,Executores Diretos das Missões,,,,,,
Brasil Cloud - Nuvem Corporativa,"Nós Respiramos Internet.
A Brasil Cloud é uma empresa (Nicho de Mercado - Cloud) do Grupo Brasil Work Serviços de Internet, Empresa brasileira, sediada em Uberlândia-MG, líder no mercado de Hosting/Cloud no Triângulo Mineiro, com mais de 9 anos de atuação.
Por meio de Rede de alta capacidade, a empresa Distribui sua Infraestrutura de Datacenter em Uberlândia-MG.
A Empresa é focada na prestação de serviços de infraestrutura para internet, como também em Software Web (SaaS), com uma gama de produtos: Hospedagem de Sites Compartilhada ou Semi Dedicada, servidores do tipo Cloud Computing / Cloud Servers, Servidores Dedicados, Cloud Backup, Anti Spam Cloudrealização de Registro de Domínios nacionais e internacionais, Intranet entre outros. Atendendo a pequenas, média e grandes empresas de todo o Brasil.",Startup,Tecnologia da informação,,3. Tração,Executores Diretos das Missões,,,,,,
Neuro Soluções Estrada Real LTDA,Possuimos um protocolo descentralizado inclusivo que permite a qualquer pessoa independentemente da sua classe socioeconômica ter acesso a taxas de câmbio exclusivamente definidas por condições de mercado.,Startup,Finanças,Blockchain,"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,,,,,,
ICE Play Educação,Auxiliar escolas na adaptação ao novo ensino médio enquanto prepara alunos para o mundo do trabalho.,Startup,"Educação, Governo, Tecnologia da informação","Machine Learning, LMS próprio com Gamificação e aprendizagem personalizada","Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,,,,,,
LandLoja,"Empresas e empreendedores enfrentam a digitalização de seus negócios de forma lenta e com desafios de tecnologia pulverizados, onerosos e descentralizados. Nossa proposta de valor é reunir em um único hub as ferramentas necessárias para digitalizar negócios: 
🚀 Criar Produtos/serviços; 
🚀 Divulgar com Landpages; 
🚀 Catalogar e Mapear Online;
🚀 Entender e analisar perfis com nossos Questionários Online; 
🚀 Reter com a área de membros;
🚀 Interagir através das comunidades;
🚀 Engajar usuários com a gameficação;
🚀 Controlar o fluxo Financeiro;
🚀 Gerenciar contratos e orçamentos;
🚀 Vender com Ecommerce e MarketPlaces;
🚀 Analisar através dos relatórios BI.",Startup,"Educação, Gestão de negócios, Tecnologia da informação, Varejo, VendasComunidade de startups","Big Data, Machine Learning","Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,,,,,,
DataScope,"Transforme todos os seus formulários de papel em formulários móveis inteligentes
Colete todos os seus dados Online ou Offline a partir de qualquer dispositivo móvel",Startup,Tecnologia da informação,,,Executores Diretos das Missões,,,,,,
